disease,specialty,_disease_key,alternate_specialty,mapping_confidence,mapping_status,source_organization,source_url,source_type,requires_emergency_triage,mapping_note
Allergy,Allergist,allergy,,High,retained,"American College of Allergy, Asthma & Immunology (ACAAI)",https://education.acaai.org/content/practice-parameters,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Anaphylaxis,Allergist,anaphylaxis,Emergency Medicine; Allergist after stabilization,High,retained_with_caveat,"American College of Allergy, Asthma & Immunology (ACAAI)",https://education.acaai.org/content/practice-parameters,authoritative professional/clinical reference,yes,Emergency treatment takes precedence; allergist follow-up is appropriate for cause evaluation/prevention.
Drug Reaction,Allergist,drug reaction,,High,retained,"American College of Allergy, Asthma & Immunology (ACAAI)",https://education.acaai.org/content/practice-parameters,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Food Allergy,Allergist,food allergy,,High,retained,"American College of Allergy, Asthma & Immunology (ACAAI)",https://education.acaai.org/content/practice-parameters,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Angina,Cardiologist,angina,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Aortic Stenosis,Cardiologist,aortic stenosis,,High,retained,American College of Cardiology / CardioSmart,https://www.cardiosmart.org/topics/aortic-stenosis/overview,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Arrhythmia,Cardiologist,arrhythmia,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Cardiomyopathy,Cardiologist,cardiomyopathy,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Coronary Artery Disease,Cardiologist,coronary artery disease,,High,retained,American College of Cardiology / CardioSmart,https://www.cardiosmart.org/topics/coronary-artery-disease/overview,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Heart Attack,Cardiologist,heart attack,Emergency Medicine,High,retained_with_caveat,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,yes,Emergency evaluation/treatment takes precedence; cardiology is the disease specialty.
